P_NAME,P_DETECTION,P_MASS,P_RADIUS,P_FLUX,P_TEMP_SURF,P_PERIOD,P_DISTANCE,P_DENSITY,P_GRAVITY,P_ESI
Teegarden's Star b,Radial Velocity,1.16,1.05,1.0779435,706.84327,4.90634,0.025911655,1.0020516,1.0521542,0.96836238
TOI-700 d,Transit,1.25,1.073,0.85982688,479.60185,37.42396,0.16344403,1.0118377,1.0857018,0.94117592
Kepler-1649 c,Transit,1.2,1.06,1.2260568,839.80725,19.53527,0.0649,1.0075431,1.0679957,0.9252979
TOI-700 e,Transit,0.818,0.953,1.2780493,494.71236,27.80978,0.13423323,0.94509312,0.90067374,0.91203186
TRAPPIST-1 d,Transit,0.388,0.788,1.1157703,980.77049,4.049219,0.02227078,0.79296327,0.62485506,0.90766241
LP 890-9 c,Transit,25.3,1.367,0.90857617,,8.457463,0.03984,9.9040991,13.538903,0.88525109
K2-72 e,Transit,2.21,1.29,1.3032621,,24.158868,0.1066413,1.0294924,1.3280452,0.87082357
Proxima Cen b,Radial Velocity,1.07,1.03,0.67846824,791.49586,11.1868,0.048569712,0.97920158,1.0085776,0.86414229
GJ 1002 b,Radial Velocity,1.08,1.03,0.67323642,1648.544,10.3465,0.0457,0.98835299,1.0180036,0.86151546
GJ 1061 d,Radial Velocity,1.64,1.16,0.68678031,,13.031,0.0615843,1.0506786,1.2187872,0.85863511
GJ 1061 c,Radial Velocity,1.74,1.18,1.4485713,,6.689,0.03647175,1.0590177,1.2496409,0.85791058
Ross 128 b,Radial Velocity,1.4,1.11,1.4824444,,9.8658,0.049933709,1.0236679,1.1362714,0.85772067
GJ 273 b,Radial Velocity,2.89,1.51,1.0644766,,18.6498,0.091556505,0.8393962,1.2674883,0.85463759
Kepler-296 e,Transit,2.96,1.53,1.0006066,,34.14211,0.17820205,0.82645159,1.2644709,0.85187076
Wolf 1069 b,Radial Velocity,1.26,1.08,0.65202081,,15.564,0.0672,1.0002286,1.0802469,0.84859348
TRAPPIST-1 e,Transit,0.692,0.92,0.64677602,1271.157,6.101013,0.02925038,0.88867428,0.81758034,0.84549451
Kepler-442 b,Transit,2.36,1.34,0.69968264,,112.3053,0.4093272,0.98083873,1.3143239,0.83824202
Kepler-438 b,Transit,1.46,1.12,1.5958032,,35.23319,0.1660747,1.0391992,1.1639031,0.83283844
Kepler-62 e,Transit,36,1.61,1.1511827,1366.358,122.3874,0.427,8.6263063,13.888353,0.82742754
Kepler-452 b,Transit,3.29,1.63,1.109013,842.4373,384.843,1.046,0.75968418,1.2382852,0.8267185
Kepler-1652 b,Transit,3.19,1.6,0.84125758,,38.09722,0.1654,0.77880859,1.2460937,0.82580569
K2-3 d,Transit,2.2,1.458,1.4544097,,44.55603,0.2022339,0.70982307,1.034922,0.81426382
Kepler-1512 b,Transit,1.76,1.18,1.6772073,1315.6151,20.359726,0.1097,1.0711903,1.2640046,0.81184745
TOI-715 b,Transit,3.02,1.55,0.71259671,790.33808,19.288004,0.083,0.81098318,1.2570239,0.80676025
Wolf 1061 c,Radial Velocity,3.41,1.66,1.2967716,1106.8466,17.8719,0.08953845,0.7454699,1.23748,0.80218752
Kepler-1410 b,Transit,3.82,1.78,1.0747496,809.18787,60.866168,0.2543,0.67733475,1.2056559,0.79997417
GJ 667 C c,Radial Velocity,3.8,1.77,0.87753986,,28.14,0.125025,0.68527328,1.2129337,0.7981014
Kepler-138 e,Transit Timing Variations,0.43,0.797,1.7328049,1459.9927,38.23,0.18143084,0.8493633,0.67694255,0.79424968
Kepler-1544 b,Transit,3.82,1.78,0.84302642,1648.0685,168.81117,0.5421,0.67733475,1.2056559,0.79266351
Kepler-283 c,Transit,3.97,1.82,0.8943165,663.15912,92.743711,0.341,0.65853118,1.1985267,0.79063717
Kepler-1649 b,Transit,1.03,1.017,1.9546714,958.8407,8.689099,0.0514,0.97920668,0.99585319,0.771452
Ross 508 b,Radial Velocity,4,1.83,1.320491,,10.77,0.056581787,0.65268964,1.194422,0.77077072
TOI-2095 c,Transit,7.4,1.33,1.8516499,,28.17232,0.137,3.1454066,4.1833908,0.76627784
GJ 667 C f,Radial Velocity,2.7,1.45,0.563568,,39.026,0.1560702,0.88564517,1.2841855,0.76372993
Kepler-1638 b,Transit,4.16,1.87,1.3857582,,259.33683,0.745,0.63616315,1.1896251,0.75706411
Kepler-440 b,Transit,4.12,1.86,1.4356379,,101.11141,0.2559876,0.64026297,1.1908891,0.75260263
TOI-2285 b,Transit,19.5,1.74,1.6198977,,27.26955,0.1424335,3.7015777,6.4407451,0.74610595
GJ 433 d,Radial Velocity,5.223,2.14,1.0598066,,36.059,0.1784361,0.53294048,1.1404926,0.74246005
Kepler-395 c,Transit,2.3,1.32,2.0419893,,34.989262,0.177,1.0000139,1.3200184,0.73889128
Kepler-1653 b,Transit,5.35,2.17,1.0439896,1396.0678,140.2524,0.4706,0.52356979,1.1361464,0.73857407
GJ 1132 c,Radial Velocity,2.64,1.43,2.0055006,456.62456,8.929,0.04933502,0.90280886,1.2910167,0.73238181
